DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,34,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test024
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,clone,436,SURVIVED,none
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,clone,436,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test132
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,clone,436,SURVIVED,none
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,clone,436,SURVIVED,none
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,441,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test133
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,compareTo,441,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test071
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,compareTo,441,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test071
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,getCompanyId,187,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test094
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,getCompanyId,187,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test068
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,getCompanyId,187,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test067
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,getCreateDate,205,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test102
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,getCreateDate,205,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test066
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,getCreateDate,205,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test065
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator,getDescription,331,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test062
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,getDescription,331,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test091
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,getDescription,331,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test064
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator,getEvent,349,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test059
DLSyncWrapper.java,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,getEvent,349,KILLED,com.liferay.portlet.documentlibrary.model.DLSyncWrapper_ESTest.test097
