CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,112,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test054
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,112,SURVIVED,none
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,append,540,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test041
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,append,543,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test041
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,append,541,SURVIVED,none
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,append,544,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test041
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,append,540,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test016
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,append,540,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test041
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,append,541,SURVIVED,none
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,append,544,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test041
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,append,543,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test041
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,append,524,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test020
CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,append,527,KILLED,org.apache.commons.lang3.builder.CompareToBuilder_ESTest.test020
