OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,27,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,delete,131,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delete,143,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delete,146,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delete,138,KILLED,fr.unice.gfarce.dao.OracleIdentiteDao_ESTest.test2
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delete,143,KILLED,fr.unice.gfarce.dao.OracleIdentiteDao_ESTest.test2
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delete,146,KILLED,fr.unice.gfarce.dao.OracleIdentiteDao_ESTest.test2
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delete,143,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delete,146,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,delete,126,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,delete,127,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,delete,128,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,delete,131,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,delete,131,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,delete,131,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,delete,131,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,delete,143,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,delete,146,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,delete,138,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,delete,143,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,delete,146,SURVIVED,none
OracleIdentiteDao.java,fr.unice.gfarce.dao.OracleIdentiteDao,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,delete,143,SURVIVED,none
