TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,<init>,296,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,<init>,197,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test19
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,<init>,224,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test06
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,<init>,251,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test06
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,157,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test17
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,160,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test14
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,163,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test13
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,166,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test12
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,169,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test11
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,172,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test10
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,175,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test09
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,178,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test08
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,181,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test07
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,199,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test05
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,202,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,205,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test04
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,208,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test03
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,211,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,214,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,217,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,220,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,226,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test02
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,229,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,232,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,235,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,238,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,241,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,244,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,247,NO_COVERAGE,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,296,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,<init>,251,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test06
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,<init>,224,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test06
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,<init>,197,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test06
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,156,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test13
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,192,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test19
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,193,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test06
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,194,KILLED,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction_ESTest.test06
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,197,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,223,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,224,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,250,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,251,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,252,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,254,SURVIVED,none
