XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,<init>,76,KILLED,com.werken.saxpath.XPathLexer_ESTest.test043
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,LA,946,KILLED,com.werken.saxpath.XPathLexer_ESTest.test032
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,LA,946,KILLED,com.werken.saxpath.XPathLexer_ESTest.test098
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,LA,948,KILLED,com.werken.saxpath.XPathLexer_ESTest.test013
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,LA,951,KILLED,com.werken.saxpath.XPathLexer_ESTest.test097
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,LA,946,KILLED,com.werken.saxpath.XPathLexer_ESTest.test098
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,LA,946,KILLED,com.werken.saxpath.XPathLexer_ESTest.test014
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,LA,951,KILLED,com.werken.saxpath.XPathLexer_ESTest.test097
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,LA,951,KILLED,com.werken.saxpath.XPathLexer_ESTest.test092
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,LA,946,KILLED,com.werken.saxpath.XPathLexer_ESTest.test043
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,LA,946,KILLED,com.werken.saxpath.XPathLexer_ESTest.test043
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,LA,951,KILLED,com.werken.saxpath.XPathLexer_ESTest.test097
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,LA,951,KILLED,com.werken.saxpath.XPathLexer_ESTest.test043
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,LA,951,KILLED,com.werken.saxpath.XPathLexer_ESTest.test043
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,LA,948,KILLED,com.werken.saxpath.XPathLexer_ESTest.test013
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,LA,951,KILLED,com.werken.saxpath.XPathLexer_ESTest.test043
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,LA,946,KILLED,com.werken.saxpath.XPathLexer_ESTest.test013
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,LA,946,KILLED,com.werken.saxpath.XPathLexer_ESTest.test043
XPathLexer.java,com.werken.saxpath.XPathLexer,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,LA,948,KILLED,com.werken.saxpath.XPathLexer_ESTest.test013
