User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,<init>,58,KILLED,com.browsersoft.aacs.User_ESTest.test52
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,49,KILLED,com.browsersoft.aacs.User_ESTest.test21
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,51,KILLED,com.browsersoft.aacs.User_ESTest.test30
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,52,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,56,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,57,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,58,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,62,KILLED,com.browsersoft.aacs.User_ESTest.test30
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,63,KILLED,com.browsersoft.aacs.User_ESTest.test30
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,64,KILLED,com.browsersoft.aacs.User_ESTest.test30
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,65,KILLED,com.browsersoft.aacs.User_ESTest.test30
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,82,KILLED,com.browsersoft.aacs.User_ESTest.test39
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,83,KILLED,com.browsersoft.aacs.User_ESTest.test39
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,82,KILLED,com.browsersoft.aacs.User_ESTest.test39
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,83,KILLED,com.browsersoft.aacs.User_ESTest.test39
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator,<init>,82,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator,<init>,83,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,addActivegroup,229,KILLED,com.browsersoft.aacs.User_ESTest.test39
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,addActivegroup,228,KILLED,com.browsersoft.aacs.User_ESTest.test39
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,addActivegroup,230,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,addActivegroup,228,KILLED,com.browsersoft.aacs.User_ESTest.test39
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,addActivegroup,228,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,addActivegroup,229,KILLED,com.browsersoft.aacs.User_ESTest.test39
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,addAllowedip,263,KILLED,com.browsersoft.aacs.User_ESTest.test38
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,addAllowedip,262,KILLED,com.browsersoft.aacs.User_ESTest.test38
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,addAllowedip,264,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,addAllowedip,262,KILLED,com.browsersoft.aacs.User_ESTest.test38
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,addAllowedip,262,SURVIVED,none
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,addAllowedip,263,KILLED,com.browsersoft.aacs.User_ESTest.test38
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,addGroup,219,KILLED,com.browsersoft.aacs.User_ESTest.test40
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,addGroup,218,KILLED,com.browsersoft.aacs.User_ESTest.test40
User.java,com.browsersoft.aacs.User,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,addGroup,220,KILLED,com.browsersoft.aacs.User_ESTest.test31
