TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,72,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test10
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,clear,148,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test17
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutator,containsKey,299,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator,containsKey,299,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test15
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator,containsKey,300,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test14
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,containsKey,300,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,containsKey,300,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test14
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,containsKey,299,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,containsKey,300,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test14
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,containsKey,300,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test06
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,containsKey,299,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,containsKey,299,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,containsKey,300,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,containsKey,300,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,containsKey,299,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,containsKey,300,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,containsKey,300,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,containsKey,299,SURVIVED,none
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,containsKey,300,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test14
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,containsKey,300,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test06
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,containsKey,299,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test15
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,containsKey,300,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test14
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test08
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test07
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test08
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test09
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test08
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test07
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test07
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test07
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test07
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test09
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test08
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,containsValue,288,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test08
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,entrySet,187,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test22
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator,entrySet,187,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test16
TShortByteMapDecorator.java,gnu.trove.decorator.TShortByteMapDecorator,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,entrySet,187,KILLED,gnu.trove.decorator.TShortByteMapDecorator_ESTest.test22
